last_name, first_name,fielder_2,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19
,999999,2020,56594,0,48.3,19.2,45.1,21,64.5,66,33.5,52.4,27.4,
Narvaez, Omar,553882,2020,965,5,53.7,28.4,54.1,16.9,66.9,68.8,44.7,55.2,39
Caratini, Victor,605170,2020,611,2,53,13.9,59.5,34.8,63.5,66.2,48.5,57,24.2
Barnes, Austin,605131,2020,932,2,52.8,20.4,46.3,16.7,58.1,73.8,36.4,64.4,42.9
Realmuto, J.T.,592663,2020,973,3,51.9,23.9,36.7,17.1,76.6,66.8,48.1,50.2,29.8
Vogt, Stephen,519390,2020,600,1,51.7,37.5,34.9,26.7,57.1,69,31.6,60.9,36.4
Nola, Austin,543592,2020,1442,2,51.6,14.3,40.5,23.8,59.7,67.5,33,67.3,40.4
Jeffers, Ryan,680777,2020,581,1,51.6,21.2,34.5,9.1,72.8,62.5,39.2,58.3,38.7
McCann, James,543510,2020,814,2,51.4,5,35.6,22.5,61.6,75.5,38.1,61.8,31.3
Perez, Roberto,547379,2020,857,2,51.3,6.3,50.4,18.4,66.7,71.7,32.6,53.7,32.7
Contreras, Willson,575929,2020,1089,2,51.2,17.9,49.1,29.1,66.3,68.5,38.2,53,28.8
Vazquez, Christian,543877,2020,1240,3,50.9,24.8,50.8,32.3,68.5,67.7,25.4,53.6,25.2
Murphy, John Ryan,571974,2020,533,0,50.7,11.9,40,20,67.9,67.8,25,62.2,40.4
Grandal, Yasmani,518735,2020,1078,3,50.6,27.8,50.4,18.4,62.4,68.8,38.2,57.6,29.2
Casali, Curt,592200,2020,719,1,50.5,15.3,43.6,26.2,64.7,69.2,39.4,60.9,33.3
Barnhart, Tucker,571466,2020,992,1,50.4,18.6,43.6,18.4,70.2,67.2,33.3,63,26.6
Stassi, Max,545358,2020,784,1,50.3,16.1,50,26.3,58.5,73.2,32.9,57.9,34.2
Molina, Yadier,425877,2020,1281,2,50.3,14.4,45,10.3,64.5,74.3,39.2,59.7,29.7
Castro, Jason,488771,2020,718,0,50.1,30.5,50,16.3,55.9,67.5,47.6,54.9,30.9
Higashioka, Kyle,543309,2020,455,1,50.1,17.6,31.6,18.8,81,71.7,33.3,54.1,31.4
Heineman, Tyler,623168,2020,408,0,50,7.4,41,30.4,71.2,63.8,46.7,57.3,18.8
Tromp, Chadwick,644433,2020,540,1,50,19.5,37.7,16.7,69.8,62.8,36.2,56.3,37.2
Leon, Sandy,506702,2020,648,0,49.8,15.4,53,27.1,59.1,67.2,47.2,60.3,25
Kelly, Carson,608348,2020,1064,1,49.5,20.7,42,23.3,71.4,64.2,39.4,52.9,22
Nottingham, Jacob,641924,2020,497,1,49.5,12.9,40.9,26.3,66.7,67.5,35.4,55.9,25
Hedges, Austin,595978,2020,739,0,49.4,22.6,44.7,25.4,59.6,67.9,29.7,55.6,32.6
Mathis, Jeff,425772,2020,689,1,49.3,21.7,54.1,21.7,62.7,68.5,32.7,52.6,24.3
Murphy, Sean,669221,2020,1359,3,49.3,20.5,43.2,10,67.9,67.1,26,56.6,24.3
Trevino, Jose,624431,2020,567,0,49,19,48.7,28,68.8,58.9,51.9,53.3,21.7
Perez, Salvador,521692,2020,998,0,49,17.7,44.6,17.5,76.1,71.5,37.7,44.6,26.6
Flowers, Tyler,452095,2020,600,1,49,22.4,50.8,34.6,63.4,67.2,33.3,54.9,21.7
Bart, Joey,663698,2020,845,0,49,24,36.7,25,62.1,69.3,40,51.8,37.2
d'Arnaud, Travis,518595,2020,1408,1,48.9,19.2,51.6,30.6,65.8,66.2,29.4,48.4,19.2
Gallagher, Cam,595956,2020,544,-1,48.9,15.2,40.6,9.5,67.6,56.5,40,67.2,23.7
Stallings, Jacob,607732,2020,1225,2,48.5,13.3,35.7,23.7,60.1,65.8,29.5,60.2,33.8
Bemboom, Anthony,621532,2020,500,2,48.4,29.3,36.7,12.5,64.5,67.1,35.6,50,30.8
Garneau, Dustin,572863,2020,426,0,47.9,25,41.5,30.4,78.9,63.5,42.9,47.9,10.8
Maldonado, Martin,455117,2020,1828,-2,47.8,19,47.4,23.8,64.1,68.2,24.7,54.1,22
Sanchez, Gary,596142,2020,1152,-2,47.6,12.8,32.1,14.9,64.5,67.5,24,52.2,43.6
Cervelli, Francisco,465041,2020,443,0,47.6,23.8,42.6,6.3,70.1,66.7,27.6,45.8,15
Wolters, Tony,547172,2020,1004,-1,47.2,21.6,47.6,22.9,63.8,66.3,41.2,46.5,14.8
Diaz, Elias,553869,2020,451,0,47.2,28.6,33.3,25,76.7,55.3,32.5,44.2,20
Avila, Alex,488671,2020,455,0,46.8,23.3,55.1,22.7,60.8,61.3,27.5,51.5,17.8
Butera, Drew,460077,2020,440,0,46.8,20.6,40.5,18.8,68.9,53.6,44,58.8,17.2
Chirinos, Robinson,455139,2020,783,-1,46.6,23,40.4,20.8,62.7,70.4,36.6,39.9,28.9
Perez, Michael,605421,2020,729,-2,46.4,18.6,65.6,25,62.1,56.6,22,45.9,17.6
Jansen, Danny,643376,2020,1281,-1,46.4,18,39,17.9,65.3,68.1,25.5,45.9,32.3
Garver, Mitch,641598,2020,557,0,46.3,14.6,46,18.5,54,59.1,38.5,54,38.6
Greiner, Grayson,606988,2020,489,-1,46.2,34.2,68.3,24,54.3,61,25,41.2,8.3
Torrens, Luis,620443,2020,610,-2,46.1,20.5,46.9,20,63.4,56.7,37.7,49.6,19
Romine, Austin,519222,2020,1068,-1,45.9,10.3,31,18.4,62.1,67.7,30.9,47.7,30.3
Sisco, Chance,642082,2020,700,-3,45.9,18.2,31.6,13.6,68.8,56.9,32.7,48.9,20.9
Wallach, Chad,595453,2020,520,-1,45.8,17.9,41.3,14.3,66.3,60.2,25.9,56.3,25
Severino, Pedro,600474,2020,995,-4,45.7,25,38.4,14.6,64.4,64.4,33.8,45.4,28.5
Zunino, Mike,572287,2020,1278,-5,45.1,17.3,49,25.6,59.7,65.1,22.5,44.4,20.3
Knapp, Andrew,595284,2020,600,-1,45,18.9,42.4,18.8,59.7,52.5,41.2,52.2,24.7
Gomes, Yan,543228,2020,885,-3,44.9,20.7,37.4,16.7,67.3,60.7,37.9,45.7,16.3
Ramos, Wilson,467092,2020,1112,0,44.8,24.8,58.7,27.4,66.2,63.5,22.8,29.6,15.8
Smith, Will,669257,2020,1125,-5,44.1,13.5,51.9,23.3,62.7,62.6,32.3,45.8,22.7
Suzuki, Kurt,435559,2020,875,-4,43.9,23.5,31.9,12.5,63.7,64.3,35.6,44,17.3
Odom, Joseph,641929,2020,459,-1,43.8,14.3,54.8,27.8,54.3,55.6,15.6,49.5,30.4
Plawecki, Kevin,608700,2020,598,-3,43,19.3,49.4,13.3,60.7,59.3,31.6,41.6,19.7
Alfaro, Jorge,595751,2020,746,-3,41.3,16.9,46.3,18.6,58.2,55.8,16.7,44.8,16.9